,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/augmentation,config/balanced_batch,config/batch_size,config/beta_loss,config/image_size,config/lr,config/optimizer,config/with_features,logdir
48,0.898000,51.653051,False,,,42,e631bcca22824971a889936970417c4e,2022-05-10_09-15-23,1652188523,2176.212082,4006612,deepsleep,172.17.28.75,2176.212082,0,42,3f309dd2,0,rotation_v3,False,30,0.001324,63,0.001531,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_3f309dd2
49,0.914000,51.793810,False,,,49,13cc98ed39fd4e8ab1c72e8c0a885cfe,2022-05-10_09-33-56,1652189636,2539.066218,4011527,deepsleep,172.17.28.75,2539.066218,0,49,2b70f47a,1,rotation_v3,False,30,0.001324,63,0.001531,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_2b70f47a
50,0.896000,52.122728,False,,,54,2de362530242464e8c58e87e0cae6148,2022-05-10_11-02-33,1652194953,2809.626582,4036239,deepsleep,172.17.28.75,2809.626582,0,54,ea3b4440,2,rotation_v3,False,30,0.001324,63,0.001531,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_ea3b4440
51,0.892000,37.166391,False,,,50,015d0ea2448a4930a735f8b6ae735da6,2022-05-10_11-05-24,1652195124,1863.860333,4041709,deepsleep,172.17.28.75,1863.860333,0,50,aa2c2fac,0,rotation_v3,False,45,0.000282,63,0.001673,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_aa2c2fac
52,0.894000,37.448294,False,,,54,40f3b62c848a4a1a802497033daea802,2022-05-10_12-22-35,1652199755,2028.592489,4067575,deepsleep,172.17.28.75,2028.592489,0,54,442ee480,1,rotation_v3,False,45,0.000282,63,0.001673,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_442ee480
53,0.900000,36.905679,False,,,25,8a9cd361fa3a494f8b9d0fe0c8271fe3,2022-05-10_12-18-52,1652199532,932.948106,4072639,deepsleep,172.17.28.75,932.948106,0,25,aa2d297c,2,rotation_v3,False,45,0.000282,63,0.001673,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_aa2d297c
54,0.892000,48.735893,False,,,32,980a091878394c989eaadeb7e563248a,2022-05-10_13-28-31,1652203711,1574.119773,4096196,deepsleep,172.17.28.75,1574.119773,0,32,b2361b0e,0,rotation_v3,False,30,0.000299,27,0.000356,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_b2361b0e
55,0.890000,48.555282,False,,,33,1bdeefeb3a9c42e8b2a25475bda6759d,2022-05-10_13-33-27,1652204007,1614.031064,4097658,deepsleep,172.17.28.75,1614.031064,0,33,eec46988,1,rotation_v3,False,30,0.000299,27,0.000356,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_eec46988
56,0.894000,50.493125,False,,,38,cf7c9d13aa554ef8a26cc65769454041,2022-05-10_14-57-22,1652209042,1913.217792,4122102,deepsleep,172.17.28.75,1913.217792,0,38,87bcf574,2,rotation_v3,False,30,0.000299,27,0.000356,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_87bcf574
57,0.892000,26.648036,False,,,40,e7014bc86d30405a9ecc4a521ee7b039,2022-05-10_14-48-09,1652208489,1069.592426,4123572,deepsleep,172.17.28.75,1069.592426,0,40,8e87b4f6,0,rotation_v3,False,75,0.001989,63,0.000128,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_8e87b4f6
58,0.890000,26.456465,False,,,56,1c8b2061a36b44ab85d15827cb76d644,2022-05-10_15-43-54,1652211834,1488.574923,4144765,deepsleep,172.17.28.75,1488.574923,0,56,3bc1f244,1,rotation_v3,False,75,0.001989,63,0.000128,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_3bc1f244
59,0.894000,26.699372,False,,,50,79f2cd228aea47eca7da81cf98445531,2022-05-10_16-18-54,1652213934,1363.355757,4160675,deepsleep,172.17.28.75,1363.355757,0,50,0be94b42,2,rotation_v3,False,75,0.001989,63,0.000128,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_0be94b42
